Product,Consumer complaint narrative
"Credit reporting, credit repair services, or other personal consumer reports","I did not know that XXXX got hacked in XX/XX/2017 and never received notification in the mail as they stated they were going to notify everyone affected. 
My homeowners insurance is coming up for renewal and they can not renew it because XXXX put a flag on my account when it got hacked stating Potential Fraud. 
XXXX  refused to remove this even though I gave them PLENTY of personal information that would prove that I was who I was in able to get the flag removed. 
I am not able to aquire homeowners insurance because a Company that I DID NOT GIVE PERMISSION to receive and store my personal information let it be stolen. 
They stated that my NAME, SOCIAL SECURITY NUMBER, BIRTHDATE, ADDRESS, WORK HISTORY and everything else they collect got stolen. 
*I WANT A NEW SOCIAL SECURITY NUMBER XXXX XXXX XXXX XXXX XXXX XXXX , TN XXXX"
"Credit reporting, credit repair services, or other personal consumer reports",Some accounts on my credit report are not mine.
"Credit reporting, credit repair services, or other personal consumer reports",XXXX XXXX continues to show on my credit reports. I have contacted the 3 major bureaus and XXXX and it continues to show. I closed this account with XXXX military orders in XX/XX/XXXX and it shows a balance that was not owed. I currently have an account with them also which makes no sense. Please remove the XXXX negative account from my credit report # XXXX. Thank you in advance.
"Credit reporting, credit repair services, or other personal consumer reports","on XX/XX/XXXX I made a payment arrangement to get my credit back in good standing with capital one, on a chat with an agent named XXXX XXXX, we created a payment plan and expectation that they would start reporting my payments if they were made on time per the arrangement, my first payment I made was that day XX/XX/XXXX of XXXX $ my second one was due the XX/XX/XXXX in the  amount of XXXX $ and the next was XX/XX/XXXX XXXX  $ - I made the second payment thinking it was the XXXX $ and realized I needed to make more of a payment so I tried to add money, they wouldn't accept it, so I called and spoke to several people about why they wont accept MORE money, after having to hang up on one person and calling back I finally got someone who deleted the first payment then took the correct amount, I then paid XXXX $ XX/XX/XXXX to get my account back in complete good standing. With all this being said I did all this to get my credit back in good standing so they were to report it, because I was moving and needed to get a credit check, I then find out XX/XX/XXXX that they reported me as not making a payment in XX/XX/XXXX and haven't reported ANY of my current payments - I called them and spoke to several people who said they have to follow the fair credit reporting standards etc etc however the agent I spoke to, XX/XX/XXXX said they dont have to report me as making payments and positive until I am in good standing, but yet that doesn't seem correct because I have made payments and you are reporting me as XX/XX/XXXX NOT making a payment then XX/XX/XXXX and XX/XX/XXXX you have no payments at all reflected, I can understand XX/XX/XXXX but NOT XX/XX/XXXX and XX/XX/XXXX. They won't fix my score until after my next billing cycle she said. So now I am unable to move because my credit is showing this and also they are violating my rights as a consumer - I am looking into legal action in small claims against them for this inaccuracy and the issues it is causing currently."
Debt collection,"XXXX, XXXX SOC SEC # XXXX DOB XX/XX/1984 ADDRESS XXXX XXXX XXXX, XXXX XXXX, FL XXXX CREDIT COLL XXXX Your company have violated FCRA 615 ( f ) ( 15 U.S.C. 1681m ( f ) ) ( f ) Prohibition on sale or transfer of debt caused by identity theft You have not responded to my request to provide me with an investigation report. 
I need this resolve, under the Fair Credit Reporting Act, these disputed items may not appear on my credit report if they can not be supported by any evidence ( 1 ) In general No person ( company ) shall sell, transfer for consideration, or place for collection a debt that such person has been notified under section 1681c-2 of this title has resulted from identity theft.

( 2 ) Applicability The prohibitions of this subsection shall apply to all persons collecting a debt described in paragraph ( 1 ) after the date of a notification under paragraph ( 1 ).
( 3 ) Rule of construction Nothing in this subsection shall be construed to prohibit -- ( A ) The repurchase of a debt in any case in which the assignee of the debt requires such repurchase because the debt has resulted from identity theft ; ( B ) the securitization of a debt or the pledging of a portfolio of debt as collateral in connection with a borrowing ; or ( C ) the transfer of debt as a result of a merger, acquisition, purchase and assumption transaction, or transfer of substantially all of the assets of an entity. 
A person that furnishes information to any consumer reporting agency shall have in place reasonable procedures to respond to any notification that it receives from a consumer reporting agency under section 1681c-2 of this title relating to information resulting from identity theft, to prevent that person from refurnishing such blocked information. 
The reference items are listed below please take this matter very serious CREDIT COLL XXXX I have report your company to consumerfinance.gov As a form of record and I am prepare to sue your company Example In re XXXXXXXX XXXX XXXX, XXXX Telephone Consumer Protection Act Litigation, Case No. XXXX   in the U.S. District Court for the XXXX XXXX of California Stop collection proceedings against me Signatures on applications and accounts Investigators report XXXX, XXXX SOC SEC # XXXX DOB XX/XX/1984 ADDRESS XXXX XXXX XXXX, XXXX XXXX, FL XXXX"
"Credit reporting, credit repair services, or other personal consumer reports","I received my credit report on XX/XX/2019 and immediately saw multiple items that were not mine being reported on my credit report. On XX/XX/2019 I sent in a letter to the credit bureau stating that I am asking for the original signed, consumer contract with my signature on it ; otherwise anyone paying for your reporting services could mail, fax or email in a fraudulent account. 
On XX/XX/2019 Equifax stated in audio during a phone conversation and in written form that the debt was validated based on Name, Date of Birth, social security number, and account number. If I am telling you that I am a victim of identity theft, anyone can open an account in my name, using my information. Equifax did not send me any proof ( original signed, consumer contract with my signature on it ). Also, they sent me the wrong information to call and write back to the creditor in which I am disputing with. The information on the credit report says that if I have any additional questions about this item, please contact ( wrong company name ), ( wrong address )."
Mortgage,"Our mortgage was transferred from XXXX to Shellpoint New Rez. When they did this, I set up a one time automatic payment thru my bank to NewRez to cover the 1st pmt. I paid {$1800.00} on XX/XX/19, which is the full mortgage payment for XX/XX/2019. NewRez then did an ACH for {$1800.00} on XX/XX/19, and took another ACH for {$1800.00} on XX/XX/19. I have called for a refund of the two erroneous payments. At first they told me that I must prove that they took the XX/XX/19 pmt, which I did. I have since spoken with at least 7 different reps at their call line, who each tell me that they are escalating. Each time they do this, they tell me that it will be 2-3 days, 24-48 hours, 4-5 days ... for us to see the refund in our bank account. I completed the "" Contact Us '' on their website 3 times, I faxed them with confirmation, and I also wrote a snail mail letter as they state that we have rights under the Federal Gov't. All of these attempts have provided NO response from this company. They destroyed our budget and put us in a negative with other debtors when they pulled a total of {$3600.00} that they were not entitled to. On top of this, the statement then showed that the next pmt was due XX/XX/2019, which is also incorrect - based upon these payments no pmt was due until XX/XX/2019. They've now moved the {$3600.00} to "" Unapplied Balance '' so it is not benefiting the interest on the mortgage either. I was told yesterday that this was escalated to this person 's supervisor who is the only one who will be able to find out why the escalations have not brought results. I was on the phone again today filing another complaint. I am now told that a XXXX XXXX will call me within 24-48 hours, so again we wait. Since it is XX/XX/2019 and payment is due no later than the 15th ( and I never wait this long ), they offered to move the unapplied balance to the loan. I don't trust them to do this, so filed the complaint once again today requesting the refund. I gave them the bank and routing number in one of the previous calls and was told we would see the funds back in our account within 24-48 hours. I have removed the banking information on our account with them so they can not do this again, and have set up automatic payments through our bank, but this does not resolve the situation that we have with them now."
Debt collection,"I received a debt collection letter from XXXX XXXX for the amount of {$1000.00}. I sent XXXX XXXX a debt validation letter certified by U.S. mail on XX/XX/2018. As of XX/XX/XXXX, I had yet to receive a response so I decided to give them a call. I told the representative that I am looking to purchase a home and I need all negative items removed from my report immediately. I also told her that the debt is not mine and has not been validated but I am willing to pay just to have it removed. She agreed to a pay for delete in the amount of {$400.00}. After I requested proof of what we agreed to, she put me on hold and came back to say that I would need to pay the full balance. I requested to speak to a supervisor and they demanded that I pay the full balance as well. I told the supervisor that they were trying to take advantage of my situation knowing that the debt was not mine but I desperately needed to have it removed to proceed with the homebuying process. Shortly after, I came across an article where this same company had been sued for shady collection practices. I believe they were trying to prey on me and reel me in as well. This is not fair to consumers like myself who are trying to go about clearing debt in the correct manner."
Student loan,"I requested an IDR plan via studentloans.gov on XX/XX/XXXX, about a month before my first payment would be due to XXXX XXXX. They sent me a bill for {$310.00} and only billed me for my loans from undergraduate. I have new loans now because I just finished grad school in the summer of XX/XX/XXXX. I called them on XX/XX/XXXX to check in about why my IDR application hadn't been processed because I knew the payment they provided was too high. The person on the phone told me that the application hadn't been processed and I had to request forbearance to avoid making a payment so I requested a forbearance and now, 12 days later, it was never processed and there's no record that I requested as forbearance. I submitted a complaint through their ombuds and they told me that I never requested a one month forbearance on my original IDR application and they sent me a copy of a paper application ( I completed the application online ). I'm on the phone with them now and they're telling me that I need to pay a minimum of {$5.00} to switch my loans to an IDR plan and that my IDR application is done, yet my account still says I'm 12 days past due and that I owe them {$1300.00}. At no point have they contacted me to tell me my IDR application was approved, to tell me what my payments would be, to tell me what loans do or do not qualify. There is a "" request summary '' on my account homepage that has a status bar that says they received my IDR request, but nothing further has been done. I'm on the phone now with XXXX # XXXX and he's telling my application has been processed, I just need to pay a {$5.00} min to get my loans switched over to a new plan. I'm so confused and angry because every time I call their customer service folks give me different answers. They don't know what they're talking about and then they don't follow through. There was a note on my account that said they weren't going to do the forbearance because my loans were in queue or something of that nature. He's now saying that the person tried to place the forbearance on all my loans instead of the ones I was originally billed for, which is why the forbearance never went through. I paid the {$5.00} minimum and the customer service person, XXXX, notated this on my account. I'm not sure why I had to pay {$5.00} for my request to be processed however."
"Credit reporting, credit repair services, or other personal consumer reports","I am requesting to remove the bankruptcy from my credit report because that on was to old and you supposed to removed a long time ago. 
Although it is your policy to keep reporting bankruptcies which are filed or adjudicated for 10 years, the Fair Credit Reporting Act mentions nothing in Section 1681c relating to bankruptcy about dismissals or filings.

The law states from date of adjudication or date of order for relief. Any case, civil or otherwise, that has been dismissed no longer exists in the eyes of the law and a case filed may never have actually been adjudicated. Therefore, you have no right to maintain information which the government has deemed nonexistent.

Therefore, it is only fair that in accordance with Section 1681 ( a ) ( 5 ) of the FCRA you delete this information from my credit report and please send me a updated copy when it is completed. Considering that this does not require an investigation, I would appreciate your response within 2 weeks from the date you receive this letter."
Debt collection,"XX/XX/2017 - I receive an alert from XXXX XXXX about this collection showing up on my credit report. I do not owe nor have I taken a loan out with XXXX XXXX XXXX XXXX of which Midwest Recovery Systems is trying to collect on. There has been no letters of any debt collection from XXXX XXXX XXXX. There is also no data in the fields on my credit report reflecting anything other than a balance owned and with an unknown open date. Review on the internet shows an increase in XXXX XXXX users receiving a collections account being posted from Midwest Recovery Systems for debts that are not theirs. XXXX XXXX XXXX XXXX would be violating the Indiana Code for Payday loans based on the amount they are claming is due. 

Citation : Ind. Code 24-4-4.5-7-101 et seq."
Debt collection,"XXXX has failed on complying with the CFPB rules on : Early Intervention ( XXXX XXXX  XXXX ) A servicer must establish or make good faith efforts to establish live contact with a delinquent borrower not later than the 36th day of the borrowers delinquency.12 As clarified in CFPB Bulletin 2013-12,13 servicers are required to make good faith efforts to establish live contact for each billing cycle for which a borrower has been delinquent for at least 36 days. A transferee servicer must begin or continue the good faith efforts regardless of whether the delinquency began while the loan was being serviced by the transferor servicer. A servicer must provide to a delinquent borrower a written notice containing certain information not later than the 45th day of the borrowers delinquency.14 A transferee servicer must comply with the written notice requirement regardless of whether the delinquency began while the loan was being serviced by the transferor servicer. XXXX waited for one full year before contacting me about the loan even though I sent a CFPB complaint to XXXX  within weeks of the transfer notice."
"Credit reporting, credit repair services, or other personal consumer reports","My personal information was used without my knowledge and because of several phone calls from creditors that did not belong to me, that prompted me to check my credit. According to XXXX and XXXX XXXX my personal information was exposed in both of their data breaches. XXXX, then confirmed that I was one of the individuals whose data was exposed twice this year alone. To date, I have noticed that there are several inquiries and credit accounts that were not requested by me were listed on my credit report. Ive filed an Identity theft report with the FTC and a police report. The FTC Identity Theft Report number is XXXX"
"Credit reporting, credit repair services, or other personal consumer reports","I sent in a Dispute letter to all 3 credit bureaus ( Experian, XXXX, and XXXX ) to send me proof that the below accounts belong to me. For example ; Documents with me signature which was stated in the letter because the bureaus stated that it was verified prior to me sending another letter for proof with my signature. 

XXXX ( XXXX XXXX XXXX, XXXX XXXX XXXX ) XXXX ( XXXX XXXX XXXX, XXXX XXXXXXXX, XXXX XXXX XXXX  XXXX ) Experian ( XXXX XXXXXXXX XXXX, XXXX XXXX XXXX, XXXX XXXX XXXX, ) I  received a response stating that the accounts were verified again with no proof!! I demand that these accounts be removed from all of the credit bureaus because it is against the to not respond properly when an item is asked for PROOF! I sent in my letters and it has been well over 45 days without proof of my signature. Ive wrote the credit bureaus and this was not a good response for the second time."
Mortgage,"My mortgage loan is in default and was recently transferred from Seterus to Nationstar/Mr. Cooper. Ultimately I will lose my home through foreclosure since Seterus was unwilling to work with me to save my home and I fear Nationstar will continue this practice. My loan qualifies for mortgage assistance, but Seterus kept telling me that I have had too many workout plans already. However, the one modification they gave me they made an accounting mistake and never accounted for my second trial modification payment. When I called in to fix this they basically said that there is nothing they can do and kept telling me to call back next month to see if they can help me. I have not had a single point of contact that I could work with and will lose my home through foreclosure if something isnt done. I am a XXXX   XXXX  and am not always in the country. A few years ago, I foolishly trusted my boyfriend to take care of the mortgage payments while I was gone for months at a time taking care of my patient. Instead of being responsible and making the mortgage payments, he took the money I sent him and squandered it. I was unaware of that I was delinquent on my mortgage payments until I came back to the country and found out I was delinquent. I contacted Seterus and I got a trial modification in XXXX of 2018. I made my XXXX payment and called Seterus in XXXX to make my next payment. One of their representatives, XXXX, called my bank to verify funds while I was on the line and was told the funds were in the bank. Everything was verified and I was told the payment was made, but their representative made a mistake and did not do the transaction. Then I was advised by XXXX that my payment did not go through because I GAVE THE WRONG ACCOUNT NUMBER for my bank account. However, it is impossible that I gave them the wrong number since XXXX confirmed the bank account number while she was on the line with my bank! After that everything fell apart and I lost my modification. I tried to work this out with them, but they have turned their backs on me and now I will lose my home through foreclosure if you can not help me."
"Credit reporting, credit repair services, or other personal consumer reports","I signed up for a "" TransUnion MySmartmove '' account at www.mysmartmove.com, which is a rental screening service operated by TransUnion, in order to have a report generated for a potential landlord. The report combines TransUnion credit history, eviction history, and criminal history. I answered all of the identity verfication questions online, successfully created an account, and a report was provided to the landlord. However, MySmartmove does not provide a copy of the report to the consumer through the website. Only the landlord can access the report on the website. Instead, they direct the consumer to call their XXXX number to request a copy of the report. I called the XXXX number and the representative wanted me to send my personal information along with a copy of my driver 's license via email to "" XXXX ''. I informed her that it is not secure to send personal information through email, that they should not be asking customers to email personal information, and that I would not send my information via email. I requested a mailing address to send my request, but the representative first claimed that she did not know the mailing address. Finally, after speaking to the supervisor, I was provided a mailing address to send a request in writing. Additionally, I was informed by the representative that the report provided to the landlord is not even the same report provided to the consumer when the consumer makes a disclosure request. I'm initiating this complaint for the following reasons : ( 1 ) TransUnion MySmartmove should provide to the consumer a copy of the report that is identical to that provided to the landlord ; ( 2 )  TransUnion MySmartmove should provide this copy to the consumer via the consumer portion of the website, just as they provide it to the landlord via the website ; ( 3 )  TransUnion MySmartmove should not request consumers to email sensitive personal information ; and ( 4 ) TransUnion MySmartmove should provide their mailing address to send FCRA disclosure requests on their website."
Debt collection,"XX/XX/XXXX Collection Agency and Original Creditor was contacted and asked to remove the false information they were reporting on the ( 3 ) credit reporting agencies. 

XX/XX/XXXX Collection Agency and Original Creditor responded with an ooutdated payment stub with incorrect account information ( original creditor is falsely reporting payments made and amount of total debt owed and changed the terms of contract after credit was issued from zero percent interest/zero APR for 24 months ( signed in doctors office XX/XX/XXXX) / also violated the Truth in Lending Act by changing the terms of agreements without notice and acquiring a signed document to agree to financial changes ). which is also in violation of the Fair Credit Billing Act for  disclosing the incorrect amount ( {$11000.00} ) and by failing to post the payments they received in good faith of clearing the debt. ( I can provide proof of payments made XXXXXX/XX/XXXX) In violation of the Fair Debt Collection Practice Act Section 807 ( 8 ) Collection Agency extended a payoff agreement of 10 % of balance on a Collection Account- after they received ( {$1300.00} ) more than 10 %, months later they left threatening voice messages and filed a case in small claims court to sue for incorrect amount of debt. I was never served papers or received any correspondence to appeal in court. 

Collection Agency is also in violation of the Fair Credit Reporting Act Section 623 ( a ) ( 3 ) they did not provide proof bearing my signature for the debt in question nor did Collection Agency provide a Dispute statement to the credit reporting agencies during this inquiry for validation of debt. 

Collection Agency and Original Creditor is being defiant in a personal manner by continuing to show negligent enablement of identity fraud and defamation of character."
"Credit reporting, credit repair services, or other personal consumer reports","Since 2017 I have sent numerous written requests to the credit agency Equifax in the matter of two accounts that appear on my credit from XXXX XXXX XXXX. I have requested debt validation of these companies listed on my credit report per Section 609 of the FCRA ... Section 609 of the Fair Credit Reporting Act ( FCRA ) refers to a consumer reporting agency 's obligation to disclose information to consumers upon request. Credit reporting agencies are required to make available all information in the consumer 's file, as well as the sources of the information on file. The information disclosed must also include the dates and original payees of all accounts. Further, Section 609 of the FCRA stipulates that consumer reporting agencies must clearly make consumers aware of their right to dispute information in their credit file. I have to this day received no validation, no proof of any contract or orally any agreement showing I owe a debt to this company. I have submitted proof that one of the amounts listed for {$500.00} was removed by XXXX, but yet this amount still appears on my Equifax report. This is a clear and blatant violation of Section 609 because nothing has been provided to me despite the numerous times I have requested validation of these accounts from XXXX XXXX XXXX. I am humbly asking tis matter to please be investigated. 
Thank You"
Debt collection,"I received a letter in the mail from One Main Financial with a request to refinance my account and funds were available after refinancing. However, they added more money to my account and fraudelent placed on my account 2 different amounts of refunds totaling {$3600.00} and {$110.00}. After One Main fraudelent placed those amounts on my account. My account increased to {$18000.00}. i had paid off {$2800.00}, a total of one years worth of payments.. The company sent an ACH to my account a total of {$2900.00}, after I left there ofn XX/XX/2018. I spoke with the manager and XXXX XXXX and asked him to fix this account because it is incorrect and he says it was not. I did not receive these monies in my account or under no circumstances. I can not believe that he expect me to pay for monies that I have not received. This is outright fraud. I do not know if he or his employees received thi money and is trying to make me pay for it. I have all the documentation to confirm what I received and was distributed to me. He also placed the amount of finance charges back on my account to bring it to a total of {$18000.00}. Please advise. I appreciate your time and concern with this matter. It is fraudelent and unwarranted, incorrect and creating a hardship."
"Money transfer, virtual currency, or money service","Hello - Recently i got myself signed up with a remittance service called 'Instarem ' by providing my identity information ( DL/SSN/Address ) and relevant copies uploaded in the service portal.. After having bad customer service on some sign up related issues, i decided to exit out from the service.. I have not done any monetary business with the firm and it was just a sign up and personal information exchange till then.. Based on my decision to exit, i asked service company to immediately close my online account and purge all my identity related documents and information that are electronically held.. I insisted repeatedly many times but company 's support service kept on spinning the issue and unable to answer satisfactorily for the reason holding on to personal data despite of no monetary business.. I did not recall signing any consent form nor firm 's support service were able to direct me to the regulatory need that stipulates holding personal data for unforeseeable future.. They caused me immense stress having my personal information held hostage and wasted my time in follow ups back n forth I'm extremely nervous and do not approve my personal identity being under possession of a third party and in this case with the firm 'Instarem'.. I request CFPB to help me in going after to resolve my concerns and address my demand of getting my personal electronic data purged from systems I raised a cfpb case before and the response came out as due to BSA regulation but I wanted to know the specifics of the regulation that stipulates holdings electronic personal records just for signing up for a digital service. I want a copy of regulation pdf pointed to specific page and section.. My prior complaint was closed for some in appropriate reasons and therefore Im opening new one Date of Issue : XX/XX/2019 Company Name : Instarem Company Type : Remittance Service Email communication exchanged with support team attached Thank you"
Mortgage,"In brief: 
(1) Dovenmuehle Mortgage, Inc. did not and does not credit my XX/XX/XXXX payment to my account.
(2) Dovenmuehle Mortgage officially started servicing the mortgage on XXXX XXXX, 2017.The payment in the amount of $XXXX was made to the previous servicing company, XXXX XXXX XXXX, c/o XXXX XXXX. It was due on XX/XX/17, paid on XX/XX/17, cleared by my bank on XX/XX/17. This payment was properly credited to my account and later verified by the XXXX. 

In more detail:
Until XX/XX/17, my mortgage was serviced by the XXXX XXXX XXXX, c/o XXXX XXXX. The servicing was transferred to Dovenmuehle Mortgage, Inc. effective XX/XX/17. I received a statement from them on XX/XX/17, before receiving any information about the loan servicing transfer, but such letters from the both companies did arrive later.

The statement listed double of the amount due as being due on XXXX XXXX (the normal monthly amount due is $XXXX). I made a normal monthly payment to Dovenmuehle Mortgage by check for my XX/XX/XXXX payment, it was received by them on XX/XX/17 and credited as my XX/XX/XXXX payment, so they still list me as being one month behind in my mortgage payments.

I have made a number of calls to Dovenmuehle Mortgage, from XX/XX/17 to this day (XX/XX/17). I have been made promises that they would investigate the matter, but no results followed, and no explanations were given. I also e-mailed confirmations of the XX/XX/XXXX payment from the XXXX website and from my bank, as requested by Dovenmuehle Mortgage, on XX/XX/17, but, once again, the matter has still not been resolved.

In particular, I was informed by the previous mortgage servicing company that they overnighted confirmation of my account information to Dovenmuehle Mortgage on XX/XX/17. Apparently, this information has not been processed or taken into the account by Dovenmuehle Mortgage. 

Moreover, according to the XXXX representative, the payoff amount given by them to Dovenmuehle Mortgage accounted for the XX/XX/XXXX payment. XXXX sent me a copy of the information. But the statements and the online account info from Dovenmuehle Mortgage have apparently been using a different (and greater) amount for their starting of servicing the loan on XX/XX/17. They use $XXXX instead of the correct amount of $XXXX. The difference corresponds to the payment that has not been credited by Dovenmuehle Mortgage.

The desired outcome of this case would be in crediting my XX/XX/XXXX payment, adjusting the principle of my mortgage, setting the next payment due date as XX/XX/XXXX (or as XX/XX/XXXX if the process is finished after I make my XX/XX/XXXX payment on XX/XX/17). 

Here is a partial list of the Dovenmuehle Mortgage representatives and supervisors that I have had talked to:
XXXX XXXX XXXX (XXXX)
XXXX (XXXX)
XXXX (XXXX)
XXXX, ext.XXXX
There were others before them, but I did not record this information during a number of my initial calls to Dovenmuehle Mortgage."
Student loan,"My payments were about to go up in XX/XX/XXXX and I knew that we would not be able to afford the increased payment due to my husband now working part time and our medical bills due to health issues. I called twice in XX/XX/XXXX and each person stated that the payment was not going up. At the end of XX/XX/XXXX, I received a statement that my payments were going up. I called WEEKLY to try and resolve this issue. The first call in XX/XX/XXXX, I was set up on a payment plan. I was given a confirmation number and told to pay the first installment of the payment plan. I went through the terms and conditions with the woman and accepted. She said it should reflect on my account in 3-4 business days. I gave it 7 days, and my account still stated I owed the full amount. So I called back. This person I spoke to told me that the repayment plan did not get approved and they had tried to call me 3 times but my phone number was disconnected ( it definitely was not, I have had the same number since XX/XX/XXXX ). So we set up a new payment plan, I got a new confirmation number, I went through the terms and condition and they wanted me to pay the first installment. I had just paid an installment the week before, so he refunded the first payment and I paid another payment for this plan. He said it would reflect in 5-7 business days. I gave it 10 business days and my account still showed behind. So I called back. The person on the phone said the processing department was still working on it. I asked when I should call back and check, and he stated "" If you are that worried about it you can call back and check on it, but it is processing the new payment plan ''. 4 days later, it still was not showing and so I called back. This person said that my new payment plan was not approved but they knew a way to make it happen. I got signed up for a new plan, went through the terms and conditions and got another confirmation number. My payment for this plan was not due until XX/XX/XXXX. 7 days later, it was now past my original due date, XX/XX/XXXX, and my payment showed past due. I called back and spoke to another woman who was incredibly rude so I asked to speak to a manager. The manager came on and I asked her to explain to me what was going on. She said that one I made that first payment of the new payment plan, it would "" kick start '' and my account would go current. So I asked if I could go ahead and make the payment. So on XX/XX/XXXX, I made another payment to start my newest payment plan. She said I would get the terms and conditions in 3-4 business days and it would reflect on my account. I kept telling her I did not want this to go on my credit. She assured me it would not. I have checked my account since then, and it had never said current. It always said past due. On XX/XX/XXXX, I received a delinquent letter. I called on XX/XX/XXXX and I was told that the new payment plan did not go through, AGAIN. I asked to speak to a supervisor. This woman stated that it was a new type of loan ( even though they have had this loan for 2 years ) and there was no possible way for me to get a repayment plan or new terms. I asked for deferment for 9 months - 1 year, and all she said was are you able to make the payment to catch your loan up? I asked her why no one has tried to call and tell me any of this and why I had been told that I would have a new payment plan so many times and she just kept saying she apologized for the inconvenience. I have been promised 3 different times a new repayment plan. And now there could possibly be a delinquent report on my credit. All I wanted was to defer or lower my payments until my husband could work full time again. I am thoroughly disappointed in the unprofessionalism of this company."
Bank account or service,"XXXX 2015 : I called to make a payment on XXXX, asked the rep directly if they could waive any of the late fees from previous months since I was catching up from being XXXX payment behind. In previous calls trying to catch up I asked if I had late fees to pay and reps at times said no. What they really meant was you do n't have to pay them now. Slightly inaccurate when a customer ( me ) asks what is my late fee or when does it apply. 
Last XXXX XXXX, I called to make a payment ; the young lady said late fees go into effect on the XXXX so I could have a manager call me back. Wrong! Yes a manager could call me back but a late fee was applied to my account {$28.00} for waiting to hear back from a manager. I still offered to make a payment Thursday the XXXX so it 's Super upsetting to incur any fee for something you ask about directly and are misinformed about. 
She was wrong about the late feeShe was wrong about having a manger call me back. Someone called saying they were from US Bank and left vm with general XXXX numbers and no name. so I had to call back XXXX and start the request for manager to call back all over again. 
This is all happening so fast my XXXX credit rating has slipped below XXXX. Thanks US Bank for making it so difficult to get accurate information about payment and fees information. Your reps are wildly inconsistent. 
Are they trying to drive customers into further default? 
Is US Bank trying to cause consumers to default on home mortgages and they foreclose on them? 
I 'm back to work as will be paid in full as of XX/XX/2015. How about the rest of their customers who are n't as fortunate and have to go through the repeated misinformation and delays associated with trying to get right information and make right amounts of payments to get out from default. God bless ... 
Please advise ... 
XXXX XXXX"
Credit card or prepaid card,"I filed a complaint last year regarding American Express Serve, they claimed my account was over drawn by {XXXX}. I provided statement records showing that they never added a refund from a return from XXXX. I kept getting the run around and they never could show when and where the money was ever returned to my account which resulted in a very rare overdraft of {XXXX} on a XXXX account. Regardless I was tired of dealing with it and they would not let me close the account so I figured I would deal with it later. I continued to receive monthly emails informing me that my account was XXXX} overdrawn until XX/XX/XXXX when I received this email : During a recent review of your American Express Serve Account we noticed activity that was in violation of the Serve Member Agreement, section : XXXX. 
Due to the violation your Account has been locked and your Account privileges have been suspended. 
If you have any questions, please call XXXX XXXX XXXX at XXXX. 

I hadn't used the account for months and when I tried calling I get a message informing me that I can only write the address they will provide and that I can NOT speak to any on the phone regarding any of activity they are referring to. Odiously something happened on XX/XX/XXXX because on XX/XX/XXXX I received an email showing my account had a credit of {XXXX}. I tried to get some information but my account was now suspended, I had been blocked from speaking to any one and I had no access to my money or information as to how I went from owing them {XXXX} to now having a credit of {XXXX} that I can't access. Finally I decided to order something from XXXX for around {XXXX}. I quickly received this email : During our recent review of your American Express Serve Account, we identified Account activity that we believe violates the terms of the Serve Consumer User Agreement. 
As a result of such activity, and pursuant to Section 15 ( d ) of the Serve Consumer User Agreement, your Account and your Account privileges have been permanently suspended. 
Any remaining funds on your Account will be returned to you in a refund check mailed to the address currently on file for the Account. 
If you have any questions or would like to inquire further, you may write to us at the following address : Serve Customer Care XXXX. XXXX XXXX XXXX, GA XXXX I hadn't done anything to violate any terms, my account has been suspended with a negative balance for months and only as of XX/XX/XXXX did I have a credit for an account I cant access. These people are dirty and I want to see my statement and what happened that made my account go positive. I think i have every right to know why I had an account I could not access or even close. Thank You"
"Credit reporting, credit repair services, or other personal consumer reports","My identity has been compromised due to identity theft and I was left with many unauthorized accounts on my credit file and I'm requesting that the XXXX mojor credit reporting agencies either send me a certified physical copy of an legal instrument with my signature accepting these accounts as an agreement between them companies inwhich I'm disputing and I, if not then as a consumer with rights I'm demanding that these accounts be blocked immediately and permanently from my credit data/ files. 

Remove these accounts, 1 ) XXXX XXXX {$1000.00} 2 ) XXXX Consulting {$1300.00} 3 ) XXXX {$180.00} 4 ) XXXX {$370.00} 5 ) XXXX   XXXX {$460.00} 6 ) XXXX XXXX {$110.00} 7 ) XXXX XXXX {$83.00} 8 ) XXXX XXXX {$150.00} 9 ) XXXX XXXX XXXX {$610.00} 10 ) XXXX XXXX XXXX {$41.00} {$20.00} {$40.00} {$83.00}"
Student loan,"After graduating from XXXX School in 2005, I attended XXXX University. During my tenure as a student, I acquired significant private student loan debts ( mostly through Sallie Mae, now Navient ) to try to stay afloat. I was not able to secure much federal aid due to my parent still claiming me as a dependent. I did not end up attaining a degree from XXXX University nor have I since entered a career space based on my studies there ( XXXX XXXX ). I was never living some high life with a new car or a nice place to live. 

After dropping out of XXXX due to financial reasons -- looming student loan debts with no means to secure enough educational funding to continue -- I eventually entered the workforce via the best means available to me without a degree. Despite having steady, salaried work for years ( 30-45k per  year ), I could not make a dent in my loan debts being barely able to afford the monthly minimums on top of basic needs ( food, shelter, transportation ). There were multiple times after I lost my most recent job ( XXXX ) and I returned to school, that forbearance was offered to me as an escape from default. 

Currently, I am an a better financial position in a secure, degreed career path. However, the private loans still loom in greater amounts than ever before. I'll be able to scrape and scrounge to try pay them back in the next 10-15 years while any chance of owning a home or moving forward in life before turning XXXX quickly vanishes."
